Genl group,Order acro,Order,Family acro,Family,Subfam acro,Genus,Species,Species acro1,Species acro2,Uncertain Id1,Common name,Comments,Growth form,Growth form,Cultivated only?8,Plant type2,Plant type2,Plant type2,Habitat (weeds) 3,Habitat (weeds) 3,Habitat (weeds) 3,Habitat (weeds) 3,Location 4,Location 4,Location 4,Location 4,B2,B3 incl. hammock5,NWH (NW hammock),B5,B6,B10,B16,Status6,Status6,Sources7,,
A4.2,Cary,Caryophyllales,Amara,Amaranthaceae,NA,Amaranthus,polygonoides,AmaPol,AmPol,NA,NA,NA,Herb,NA,N,Weed,NA,NA,Veg,NA,NA,NA,WdDi,NA,NA,NA,NA,NF,NA,NA,NA,WdDi,WdDi,NA,NA,NA,,
A4.2,Cary,Caryophyllales,Amara,Amaranthaceae,NA,Amaranthus,spinosus,AmaSpi,AmSp,NA,NA,NA,Herb,NA,N,Weed,NA,NA,Veg,NA,NA,NA,WdDi,NA,NA,NA,WdDi,NF,NA,NA,NA,WdDi,WdDi,PestHost,NA,NA,,
A4.2,Cary,Caryophyllales,Amara,Amaranthaceae,NA,Amaranthus,viridis,AmaVir,AmVi,NA,Slender amaranth,NA,Herb,NA,N,Weed,NA,NA,L&L,NA,NA,NA,B5,NA,NA,NA,NA,NA,NA,B5,B6,B10,NA,NA,NA,NA,,
A2,Aspa,Asparagales,Amary,Amarylladaceae,NA,~Hemerocallus,NA,NA,NA,Fam,True lily,NA,Herb,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,8216,PltClnc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A2,Aspa,Asparagales,Amary,Amarylladaceae,NA,Crinum,asiaticum,CriAsi,CrAs,NA,Swamp or spider lily,NA,Herb,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,8260,Tchng,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A4.5,Sapi,Sapindales,Anac,Anacardiaceae,NA,Mangifera,indica,ManInd,MaIn,NA,Mango,NA,Tree,NA,?,CropP,NA,NA,NA,NA,NA,NA,WdDi,NA,NA,NA,NF,B3,NA,NA,NA,B10,NA,NA,NA,[5],,
A4.5,Sapi,Sapindales,Anac,Anacardiaceae,NA,Mangifera,odorata,ManOro,MaOd,NA,Kuwini,NA,Tree,NA,Y,CropP,NA,NA,NA,NA,NA,NA,B3,NA,NA,NA,NA,B3,NA,NA,NA,NA,NA,NA,NA,[5],,
A4.5,Sapi,Sapindales,Anac,Anacardiaceae,NA,Mangifera,zeylanica,ManZey,MaZe,NA,NA,NA,Tree,NA,Y,CropP,NA,NA,NA,NA,NA,NA,B3,NA,NA,NA,NA,B3,NA,NA,NA,NA,NA,NA,NA,[5],,
A4.5,Sapi,Sapindales,Anac,Anacardiaceae,NA,Metopium,toxiferum,MetTox,MeTo,NA,NA,NA,Tree,Shrub,N,Roc,NA,NA,Roc,NA,NA,NA,NA,NA,NA,NA,NA,B3H,NA,NA,NA,NA,NA,NA,NA,[4also],,
A4.5,Sapi,Sapindales,Anac,Anacardiaceae,NA,Rhus,copallinum,RhuCop,RhCo,NA,Winged sumac,NA,Shrub,Tree,N,Roc,NA,NA,Roc,NA,NA,NA,NA,NA,NA,NA,NA,NF,NA,NA,NA,B10,NA,NA,NA,[4also],,
A4.5,Sapi,Sapindales,Anac,Anacardiaceae,NA,Schinus,terebinthifolius,SchTer,ScTe,NA,Brazilian peppertree,NA,Tree,NA,N,Weed,L&L,NA,Roc,Ham,NA,NA,WdDi,NA,NA,NA,NA,B3H,NA,NA,NA,NA,NA,NA,NA,[4also],,
A4.5,Sapi,Sapindales,Anac,Anacardiaceae,NA,Spondias ,cytherea/mombin,SpoSp.,SpSp.,Sp.,NA,NA,Tree,NA,Y,CropP,Landsc,NA,NA,NA,NA,NA,B2N#19H,NA,NA,NA,B2N#19H,NA,NA,NA,NA,NA,NA,1?,NA,[1],,
A4.5,Sapi,Sapindales,Anac,Anacardiaceae,NA,Spondias ,purpurea ,SpoPur,SpPu,NA,Purple mombin,NA,Tree,NA,Y,CropP,Landsc,NA,NA,NA,NA,NA,B2,NA,NA,NA,B2,NF,NA,NA,NA,NA,NA,NA,NA,[1],,
A4.5,Sapi,Sapindales,Anac,Anacardiaceae,NA,Toxicodendron,radicans,ToxRad,ToRa,NA,Poison ivy,NA,Vine,NA,N,Ham,NA,NA,NA,NA,NA,NA,Ham,NA,NA,NA,NA,B3H,NA,NA,NA,NA,NA,NA,NA,NA,,
A1.5,Magn,Magnoliales,Anno,Annonaceae,NA,Annona,cherimola x squamosa,AnnCheXsqu,AnSp.,Sp.,atemoya,NA,Tree,NA,Y,CropP,Landsc,NA,NA,NA,NA,NA,B2,NA,NA,NA,B2,NA,NA,NA,NA,NA,NA,NA,NA,[1],,
A1.5,Magn,Magnoliales,Anno,Annonaceae,NA,Annona,diversifolia,AnnDiv,AnDi,NA,Ilama,NA,Tree,NA,Y,CropP,Landsc,NA,NA,NA,NA,NA,B2,B6,NA,NA,B2,NA,NA,NA,B6,NA,NA,NA,NA,[1],,
A1.5,Magn,Magnoliales,Anno,Annonaceae,NA,Annona,diversifolia x glabra,AnnDivXgla,AnDiNAgl,NA,NA,[A. diversifoia]/A. glabra,Tree,Shrub,Y,CropP,Landsc,NA,NA,NA,NA,NA,B6,NA,NA,NA,NA,NA,NA,NA,B6,NA,NA,NA,NA,[7],,
A1.5,Magn,Magnoliales,Anno,Annonaceae,NA,Annona,glabra,AnnGla,AnGl,NA,pond apple,NA,Tree,Shrub,N,CropP,Landsc,NA,NA,NA,NA,NA,B6,NA,NA,NA,NA,NA,NA,NA,B6,NA,NA,NA,NA,[7],,
A1.5,Magn,Magnoliales,Anno,Annonaceae,NA,Annona,glabra x reticulata,AnnGlaXret,AnGlNAre,NA,NA,[A. reticulata]/A. reticulata/A. glabra,Tree,Shrub,Y,CropP,Landsc,NA,NA,NA,NA,NA,B6,NA,NA,NA,NA,NA,NA,NA,B6,NA,NA,NA,NA,[7],,
A1.5,Magn,Magnoliales,Anno,Annonaceae,NA,Annona,montana ,AnnMon,AnMo,NA,Mountain soursop,NA,Tree,NA,Y,CropP,Landsc,NA,NA,NA,NA,NA,B2,NA,NA,NA,B2,NA,NA,NA,NA,NA,NA,NA,NA,[1],,
A1.5,Magn,Magnoliales,Anno,Annonaceae,NA,Annona,muricata,AnnMur,AnMu,NA,soursop,NA,Tree,NA,Y,CropP,Landsc,NA,NA,NA,NA,NA,B2,NA,NA,NA,B2,NA,NA,NA,NA,NA,NA,NA,NA,[1],,
A1.5,Magn,Magnoliales,Anno,Annonaceae,NA,Annona,reticulata,AnnRet,AnRe,NA,custard apple,NA,Tree,NA,Y,CropP,Landsc,NA,NA,NA,NA,NA,B2,B6,NA,NA,B2,NA,NA,NA,B6,NA,NA,NA,NA,[1],,
A1.5,Magn,Magnoliales,Anno,Annonaceae,NA,Annona,squamosa,AnnSqu,AnSq,NA,sugar apple ,NA,Tree,NA,Y,CropP,Landsc,NA,NA,NA,NA,NA,B2,NA,NA,NA,B2,NA,NA,NA,B6,NA,NA,NA,NA,[1],,
A1.5,Magn,Magnoliales,Anno,Annonaceae,NA,Rollinia ,deliciosa,RolDel,RoDe,NA,rollinia,NA,NA,NA,Y,CropP,Landsc,NA,NA,NA,NA,NA,B2,B6,NA,NA,B2,NA,NA,NA,NA,NA,NA,NA,NA,[1],,
A4.8,Apia,Apiales,Apia,Apiaceae,NA,Centella,asiatica,CenAsi,CeAs,NA,Dollar weed,NA,Herb,NA,N,Weed,L&L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NF,NF,NA,NA,NA,NF,NA,NA,NA,NA,,
A4.8,Apia,Apiales,Apia,Apiaceae,NA,Cyclospermum [Apium],leptophyllum,CycLep,CyLe,NA,Wild celery,NA,Herb,NA,N,Weed,L&L,NA,NA,NA,NA,NA,WdDi,NA,NA,NA,WdDi,NF,NA,NA,NA,WdDi,NF,NA,NA,NA,,
A4.8,Apia,Apiales,Apia,Apiaceae,NA,Hydrocotyle,umbellata,HydUmb,HyUm,NA,Dollar weed,NA,Herb,NA,N,Weed,L&L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NF,NF,NA,NA,NA,NF,NA,NA,NA,NA,,
