Genl group,Order acro,Order,Family acro,Family,Subfam acro,Genus,Species,Species acro1,Species acro2,Uncertain Id1,Common name,Comments,Growth form,Growth form,Cultivated only?8,Plant type2,Plant type2,Plant type2,Habitat (weeds) 3,Habitat (weeds) 3,Habitat (weeds) 3,Habitat (weeds) 3,Location 4,Location 4,Location 4,Location 4,B2,B3 incl. hammock5,NWH (NW hammock),B5,B6,B10,B16,Status6,Status6,Sources7,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Dypsis,decaryi,DypDec,DyDe,NA,NA,NA,Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,Arbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Dypsis,lutescens,DypLut,DyLu,Gen,NA,NA,Tree,Shrub,?,Landsc,NA,NA,NA,NA,NA,NA,B1d,Arbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Elaeis,guinensis,ElaGui,ElGu,NA,African oil palm,NA,Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,Arbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Heterospathe,elata,HetEla,HeEl,NA,NA,Along S. fence,Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,B1d,Arbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Hyophorbe,langenocaulis,HyoLan,HyLa,NA,NA,NA,Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Hyophorbe,verschaffeltii,HyoVer,HyVe,NA,NA,NA,Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Hyphae,sp.,HypSp.,HySp.,Sp.,NA,NA,Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,8223,EastLabs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Karyota,mitis,KarMit,KaMi,NA,NA,NA,Tree,NA,?,Landsc,NA,NA,NA,NA,NA,NA,Arbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Latania,lontaroides,LatLon,LaLo,NA,NA,Along S. fence,Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,B1d,Arbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Licuala,sp.,NA,NA,Gen,NA,Inflorescence spikelike resembling many in the Araceae,Shrub,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,B1d,Arbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Livistonia,chinensis,LivChi,LiSp.,Sp.,NA,NA,Tree,Shrub,N,Landsc,NA,NA,NA,NA,NA,NA,B4,8269,StuHsng,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Phoenix,canariensis,PhoCan,PhCa,NA,NA,NA,Tree,NA,?,Landsc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Phoenix,reclinata,PhoRec,PhRe,NA,NA,NA,Tree,NA,N,Landsc,Weed,NA,L&L,NA,NA,NA,WdDi,NA,NA,NA,WdDi,B3H?,NA,B5,NA,NF,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Phoenix,roebellini,PhoRoe,PhRo,NA,NA,NA,Tree,Shrub,Y,Landsc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Phoenix,sp.,PhoSp.,PhSp.3,Sp.,NA,Two-ranked leaflets,Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,8252,FrOfc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Pseudophoenix,lediniana,PseLed,PsSp.,NA,NA,NA,Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Ptychosperma,sp.,PtySp.,PtSp.,Sp.,NA,Multi-trunked (not P.elegans),Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Raphis,excelsa,RapExc,RaEx,NA,NA,NA,Tree,Shrub,Y,Landsc,NA,NA,NA,NA,NA,NA,Arbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Roystonea,regia,RoyReg,RoRe,NA,NA,NA,Tree,NA,N,Landsc,NA,NA,NA,NA,NA,NA,WdDi,NA,NA,NA,NF,NF,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Sabal,causarium,SabCau,SaCa,NA,NA,Lateral inflos.,Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,Arbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Sabal,etonia,SabEto,SaEt,NA,NA,NA,Tree,Shrub,N,Roc,NA,NA,NA,NA,NA,NA,Roc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[4only],,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Sabal,mauritianum,SabMau,SaMa,NA,NA,Lateral inflos.,Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,Arbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Sabal,minor,SabMin,SaMi,NA,NA,NA,Shrub,NA,N,Landsc,Native,NA,NA,NA,NA,NA,8235,CentLabs,NA,NA,NA,NF,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Sabal,palmetto,SabPal,SaPa,NA,NA,NA,Tree,Shrub,N,Roc,NA,NA,NA,NA,NA,NA,Roc,NA,NA,NA,NF,NF,NA,NA,NA,NA,NA,NA,NA,[4also],,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Satakentia,liukiuensis,SatLiu,SaLi,NA,NA,NA,Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,8221,Library,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Serenoa,repens,SerRep,SeRe,NA,Palmetto,NA,Shrub,NA,N,Roc,NA,NA,NA,NA,NA,NA,B13,Roc,NA,NA,NA,NF,NA,NA,NA,NA,NA,NA,NA,[4also],,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Serenoa,sp.,NA,NA,Genus,NA,"Very similar to palmetto, but slightly more upright",Shrub,Tree,?,Landsc,NA,NA,NA,NA,NA,NA,8252,FrOfc,8253,Breezeway,NA,NF,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Syagrus,romanzoffiana,SyaRom,SyRo,NA,NA,NA,Tree,NA,?,Landsc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NF,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Syagrus,sp.,SyaSp.,SySp.,Sp.,NA,NA,Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,8219,Hydrology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Thrinax,morrisi,ThrMor,ThMo,NA,NA,NA,Tree,Shrub,?,Landsc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Thrinax,radiata,ThrRad,ThRa,NA,NA,NA,Tree,Shrub,?,Landsc,NA,NA,NA,NA,NA,NA,Arbo,NA,NA,NA,NA,NF,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Veitchia,arecina,VeiAre,VeAr,NA,NA,NA,Tree,NA,?,Landsc,NA,NA,NA,NA,NA,NA,8219,Hydrology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Veitchia,merrilli,VeiMer,VeMe,NA,NA,NA,Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,8267,VergelHome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Washingtonia,robusta,WasRob,WaRo,NA,NA,Tallest palm at TREC,Tree,NA,N,Landsc,NA,NA,NA,NA,NA,NA,Arbo,NA,NA,NA,NF,NF,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Woodyetia,bifurcata,WooBif,WoBi,NA,NA,NA,Tree,NA,?,Landsc,NA,NA,NA,NA,NA,NA,B4NE,NA,NA,NA,NA,NF,NA,NA,NA,NA,NA,NA,NA,NA,,
A3.2,Arec,Arecales,Arec,Arecaceae,NA,Zombia,antillanum,ZomAnt,ZoAn,NA,NA,NA,Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,8252,FrOfc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A2,Aspa,Asparagales,Aspa,Asparagaceae,NA,Asparagus,densiflorus,AspDen,AsDe,NA,Asparagus fern,cv 'Myers'?,Herb,NA,N,Landsc,NA,NA,NA,NA,NA,NA,8252,FrOfc,NA,NA,NF,NF,NA,NA,NA,NF,NA,NA,NA,NA,,
A2,Aspa,Asparagales,Aspa,Asparagaceae,NA,Beaucarnea,recurvata,BeaRec,BeRe,NA,NA,NA,Tree,Shrub,Y,Landsc,NA,NA,NA,NA,NA,NA,8256,Ento,8267,VergelHome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A2,Aspa,Asparagales,Aspa,Asparagaceae,NA,Cordyline,terminalis/fruiticosa,CorSp.2,CoSp.5,Sp.,Ti plant,Purple and green/yellow varieties,Shrub,Herb,Y,Landsc,NA,NA,NA,NA,NA,NA,8253,8256,8257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A2,Aspa,Asparagales,Aspa,Asparagaceae,NA,Dracena,~fragrans,DraSp.,DrSp.,Sp.,NA,NA,Herb,Shrub,Y,Landsc,NA,NA,NA,NA,NA,NA,8211,DakNGnhs,NA,NA,B2N#2b,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A2,Aspa,Asparagales,Aspa,Asparagaceae,NA,Dracena,marginata,DraMar,DrMa,NA,NA,NA,Shrub,Herb,Y,Landsc,NA,NA,NA,NA,NA,NA,8221,Library,8267?,VergelHome?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A2,Aspa,Asparagales,Aspa,Asparagaceae,NA,Ophiopogon,japonicum,OphJap,OpJa,NA,NA,NA,Herb,NA,?,Landsc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A2,Aspa,Asparagales,Asph,Asphodelaceae,NA,Bulbine ,frutescens,BulFru,BuFr,NA,NA,"6-12” lvs, yellow fls",Herb,NA,?,Landsc,NA,NA,NA,NA,NA,NA,8216,PltClnc,8252,FrOfc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A4.8,Aste,Asterales,Aste,Asteraceae,Lac,Ageratum,houstonianum,AgeHou,AgHo,NA,NA,NA,Herb,NA,N,Weed,NA,NA,Veg,NA,NA,NA,WdDi,NA,NA,NA,WdDi,NF,NA,NA,NA,WdDi,WdDi,P,NA,NA,,
A4.8,Aste,Asterales,Aste,Asteraceae,NA,Ambrosia,artemisifolia,AmbArt,AmAr,NA,Ragweed,NA,Herb,NA,N,Weed,NA,NA,Veg,NA,NA,NA,WdDi,NA,NA,NA,WdDi,B3H,NA,NA,NA,WdDi,WdDi,NA,NA,[4also],,
A4.8,Aste,Asterales,Aste,Asteraceae,NA,Baccharis,sp.,BacSp.,BaSp.,Sp.,NA,NA,Tree,Shrub,N,Succ,NA,NA,NA,NA,NA,NA,Succ,Roc,NA,NA,NF,NF,NA,NA,NA,NF,NA,NA,NA,NA,,
A4.8,Aste,Asterales,Aste,Asteraceae,NA,Berlandiera,subacaulis,BerSub,BeSu,NA,NA,NA,NA,NA,N,Roc,NA,NA,NA,NA,NA,NA,Roc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[4only],,
A4.8,Aste,Asterales,Aste,Asteraceae,Hel,Bidens,alba,BidAlb,BiAl,NA,NA,NA,Herb,NA,N,Weed,Native,NA,L&L,Roc,NA,NA,WdDi,NA,NA,NA,WdDi,B3H,NWH,NA,NA,WdDi,WdDi,NA,NA,[4also],,
A4.8,Aste,Asterales,Aste,Asteraceae,Hel,Calyptocarpus,vialis,CalVia,CaVi,NA,NA,NA,Herb,NA,N,Weed,NA,NA,L&L,NA,NA,NA,WdDi,NA,NA,NA,WdDi,NF,NA,NA,NA,WdDi,WdDi,P,NA,[4also],,
A4.8,Aste,Asterales,Aste,Asteraceae,NA,Chaptalia,albicans,ChaAlb,ChAl,NA,NA,NA,NA,NA,N,Roc,NA,NA,NA,NA,NA,NA,Roc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[4only],,
A4.8,Aste,Asterales,Aste,Asteraceae,Lac,Chromalaena,odorata,ChrOdo,ChOd,NA,NA,NA,Shrub,Tree,N,Landsc,Roc,Weed,L&L,NA,NA,NA,NA,NA,NA,NA,WdDi,B3H,NWH,NA,NA,WdDi,NA,NA,NA,[4also],,
A4.8,Aste,Asterales,Aste,Asteraceae,NA,Circium,sp.,NA,NA,Genus,Thistle?,in new sod; needs to be unmowed to obtain flowers to identify species,Herb,NA,N,Weed,NA,NA,L&L,NA,NA,NA,"B1c, e/f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A4.8,Aste,Asterales,Aste,Asteraceae,Hel,Conyza,canadense,ConCan,CoCa,NA,NA,NA,Herb,NA,N,Weed,NA,NA,L&L,NA,NA,NA,NA,NA,NA,NA,WdDi,NF,NA,NA,NA,WdDi,NF,P,NA,[4also],,
A4.8,Aste,Asterales,Aste,Asteraceae,Lac,Crassocephalum,crespidioides,CraCre,CrCr,NA,Redflower ragleaf,NA,Herb,NA,N,Weed,NA,NA,Veg,NA,NA,NA,B11N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A4.8,Aste,Asterales,Aste,Asteraceae,Lac?,Cyanthillium,cinereum,CyaCin,CyCi,NA,Little ironweed,NA,Herb,NA,N,Weed,Ham,NA,L&L,Ham,NA,NA,NA,NA,NA,NA,WdDi,B3H,NWH,NA,NA,WdDi,NF,NA,NA,NA,,
A4.8,Aste,Asterales,Aste,Asteraceae,Hel,Eclipta,prostrata,EclPro,EcPr,NA,NA,NA,Herb,NA,N,Weed,NA,NA,Veg,NA,NA,NA,WdDi,NA,NA,NA,NF,NF,NA,NA,NA,WdDi,WdDi,NA,NA,NA,,
A4.8,Aste,Asterales,Aste,Asteraceae,Lac,Emilia,fosbergii,EmiFos,EmFo,NA,NA,NA,Herb,NA,N,Weed,NA,NA,L&L,Veg,NA,NA,WdDi,NA,NA,NA,WdDi,B3H,NA,NA,NA,WdDi,WdDi,NA,NA,[4also],,
A4.8,Aste,Asterales,Aste,Asteraceae,Lac,Emilia,sonchifolia,EmiSon,EmSo,NA,NA,NA,Herb,NA,N,Weed,Roc,NA,Roc,NA,NA,NA,8235,CentLabs,Roc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[4also],,
A4.8,Aste,Asterales,Aste,Asteraceae,Lac,Erechtites,hieraciifolius,EriHie,ErHi,NA,Fireweed,NA,Herb,NA,N,Weed,NA,NA,L&L,NA,NA,NA,B2N,NA,NA,NA,B2N,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A4.8,Aste,Asterales,Aste,Asteraceae,Lac,Eupatorium,capillifolium,EupCap,EuCa,NA,NA,NA,Shrub,Herb,N,Weed,NA,NA,L&L,G&P,NA,NA,NA,NA,NA,NA,NF,NF,NA,NA,NA,NF,NF,NA,NA,NA,,
A4.8,Aste,Asterales,Aste,Asteraceae,Lac,Gamochaeta,pensylvanica,GamPen,GaPe,NA,Pennsylvania cudweed,in new sod,Herb,NA,N,Weed,NA,NA,L&L,NA,NA,NA,8235,CentLabs,8223,EastLabs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A4.8,Aste,Asterales,Aste,Asteraceae,NA,Melanthera,nivea,MelNiv,MeNi,NA,NA,NA,Herb,NA,N,NA,NA,NA,NA,NA,NA,NA,Roc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[4also],,
A4.8,Aste,Asterales,Aste,Asteraceae,NA,Mikania,micrantha/scandens,MikSp.,MiSp.,Sp.,NA,NA,Vine,Herb,N,Weed,NA,NA,L&L,NA,NA,NA,B7east,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A4.8,Aste,Asterales,Aste,Asteraceae,NA,Parthenium,hysterophorus,ParHys,PaHy,NA,NA,NA,Herb,NA,N,Weed,NA,NA,Veg,NA,NA,NA,WdDi,NA,NA,NA,WdDi,B3H,NA,NA,NA,WdDi,WdDi,NA,NA,[4also],,
A4.8,Aste,Asterales,Aste,Asteraceae,NA,Pectis,prostrata,PecPro,PePr,Sp.,NA,NA,Herb,NA,N,Weed,NA,NA,L&L,Veg,NA,NA,WdDi,NA,NA,NA,WdDi,NF,NA,NA,NA,B10,NF,NA,NA,NA,,
A4.8,Aste,Asterales,Aste,Asteraceae,Lac,Pluchea,carolinensis,PluCar,PlCa,NA,NA,NA,Herb,Shrub,N,Weed,Native,NA,L&L,G&P,NA,NA,WdDi,NA,NA,NA,NF,NF,NA,NA,NA,NF,NA,H,NA,NA,,
A4.8,Aste,Asterales,Aste,Asteraceae,NA,Pterocaulon,pycnostachyum,PtePyc,PtPy,NA,NA,NA,NA,NA,N,Roc,NA,NA,NA,NA,NA,NA,Roc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[4only],,
A4.8,Aste,Asterales,Aste,Asteraceae,NA,Solidago,odora chapmanii,SolOdo,SoOd,NA,NA,NA,Herb,NA,N,Roc,NA,NA,NA,NA,NA,NA,Roc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[4only],,
A4.8,Aste,Asterales,Aste,Asteraceae,NA,Sonchus,asper,SonAsp,SoAs,NA,NA,NA,Herb,NA,N,Weed,NA,NA,Veg,L&L,NA,NA,WdDi,NA,NA,NA,WdDi,NF,NA,NA,NA,WdDi,WdDi,NA,NA,NA,,
A4.8,Aste,Asterales,Aste,Asteraceae,NA,Sonchus,oleraceus,SonOle,SoOl,NA,NA,NA,Herb,NA,N,Weed,NA,NA,Veg,L&L,NA,NA,WdDi,B14dump,NA,NA,WdDi,NF,NA,NA,NA,WdDi,WdDi,NA,NA,NA,,
A4.8,Aste,Asterales,Aste,Asteraceae,NA,Symphyotrichum,adnatum,SymAdn,SyAd,NA,NA,NA,Herb,NA,N,Roc,NA,NA,NA,NA,NA,NA,Roc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[4only],,
A4.8,Aste,Asterales,Aste,Asteraceae,NA,Symphyotrichum,concolor,SymCon,SyCo,NA,NA,NA,Herb,NA,N,Roc,NA,NA,NA,NA,NA,NA,Roc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[4only],,
A4.8,Aste,Asterales,Aste,Asteraceae,Hel,Tridax,procumbens,TriPro,TrPr,NA,NA,NA,Herb,NA,N,Weed,NA,NA,L&L,Veg,G&P,NA,WdDi,NA,NA,NA,WdDi,NF,NA,NA,NA,WdDi,WdDi,P,NA,[4also],,
A4.8,Aste,Asterales,Aste,Asteraceae,NA,Youngia,japonica,YonJap,YoJa,NA,NA,NA,Herb,NA,N,Weed,NA,NA,L&L,NA,NA,NA,WdDi,NA,NA,NA,WdDi,B3H,NA,NA,NA,WdDi,WdDi,NA,NA,NA,,
A4.8,Lami,Lamiales,Bign,Bignoniaceae,NA,Hadroanthus,chrysotricha/chrysantha,HadSp.,HaSp.,Sp.,NA,"Yellow fls, hairy, suckers",Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,Arbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A4.8,Lami,Lamiales,Bign,Bignoniaceae,NA,Jacaranda,mimosifolia,JacMim,JaMi,NA,Jacaranda,NA,Tree,NA,?,Landsc,NA,NA,NA,NA,NA,NA,B1,8252,(Sside),NA,NF,NA,NA,NA,NA,NA,NA,?1,NA,NA,,
A4.8,Lami,Lamiales,Bign,Bignoniaceae,NA,Kigelia,africana,KigAfr,KiAf,NA,Sausage tree,NA,Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,Arbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,,
A4.8,Lami,Lamiales,Bign,Bignoniaceae,NA,Oroxylum,indicum,OroInd,OrIn,NA,NA,NA,Tree,Shrub,Y,Landsc,Weed,NA,L&L,NA,NA,NA,Arbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A4.8,Lami,Lamiales,Bign,Bignoniaceae,NA,Tabebuia,aurea,TabAur,TaAu,NA,NA,NA,Tree,NA,N,Landsc,NA,NA,NA,NA,NA,NA,8267,VergelHome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A4.8,Lami,Lamiales,Bign,Bignoniaceae,NA,Tabebuia,heterophylla,TabHet,TaHe,NA,NA,NA,Tree,NA,N,Landsc,Weed,NA,L&L,NA,NA,NA,8260,Tchng,NA,NA,NA,NF,NA,NA,NA,NA,NA,NA,NA,NA,,
A4.8,Lami,Lamiales,Bign,Bignoniaceae,NA,Tabebuia,impetiginosa,TabImp,TaIm,NA,NA,"Purple fls, deciduous",Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,Arbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A4.8,Lami,Lamiales,Bign,Bignoniaceae,NA,Tabebuia,sp.,TabSp.,TaSp.,Sp.,NA,"Yellow fls, 60’",Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,Arbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A4.5,Malv,Malvales,Bomb,Bombacaceae,NA,Adansonia,digitata,AdaDig,AdDi,NA,Baobab,NA,Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,Arbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,NA,NA,,
A4.5,Malv,Malvales,Bomb,Bombacaceae,NA,Bombax,ceiba,BomCei,BoCe,Gen,NA,Red flowers,Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,8221,Library,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,,
A4.5,Malv,Malvales,Bomb,Bombacaceae,NA,Chlorisia,speciosa,ChlSpe,ChSp,NA,NA,Purple & white? Fls,Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,Arbo,B14?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A4.5,Malv,Malvales,Bomb,Bombacaceae,NA,Pachira,aquatica,PacAqu,PaAq,NA,NA,NA,Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,8256-7,Ento,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A4.5,Malv,Malvales,Bomb,Bombacaceae,NA,Pseudobombax,ellipticum,PseEll,PsEl,NA,NA,NA,Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,8245,ChemStrg,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,,
A4.8,Sola,Solanales,Bora,Boraginaceae,NA,Borierra,radula,BorRad,BoRa,sp.,Rough strongbark,"Unlike online specimens, TREC trees have orbicular-ovate leaves with truncate or slightly cordate bases",Tree,NA,N,Landsc,NA,NA,NA,NA,NA,NA,"B1d, e, f",NA,NA,NA,NF,NF,NA,NA,NA,NF,NA,NA,NA,NA,,
A4.8,Sola,Solanales,Bora,Boraginaceae,NA,Borierra,succulenta,BorSuc,BoSu,NA,Bahama strongbark,NA,Tree,Shrub,N,Ham,NA,NA,NA,NA,NA,NA,Ham,NA,NA,NA,NF,B3H,NA,NA,NA,NF,NA,NA,NA,NA,,
A4.8,Sola,Solanales,Bora,Boraginaceae,NA,Cordia,boissieri,CorBoi,CoBo,NA,NA,NA,Tree,NA,Y,Landsc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A4.8,Sola,Solanales,Bora,Boraginaceae,NA,Cordia,sebestina,CorSeb,CoSe,NA,NA,NA,Tree,NA,?,Landsc,NA,NA,NA,NA,NA,NA,8260,Tchng,NA,NA,NA,NF,NA,NA,NA,NA,NA,NA,NA,NA,,
A4.5,Bras,Brassicales,Bras,Brassicaceae,NA,Brassica,oleracea,BraOle,BrOl,NA,"Cabbage, collards",NA,Herb,NA,Y,CropT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A4.5,Bras,Brassicales,Bras,Brassicaceae,NA,Brassica/Sisymbrium,sp.,NA,NA,Gen,NA,NA,Herb,NA,N,Weed,NA,NA,NA,L&L,NA,NA,8219,Hydrology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
A4.5,Bras,Brassicales,Bras,Brassicaceae,NA,Cardamine,pensylvanica,CarPen,CaPe,NA,NA,NA,Herb,NA,N,Weed,NA,NA,L&L,G&P,NA,NA,NA,NA,NA,NA,NF,NF,NA,NA,NA,NF,NF,NA,NA,NA,,
A4.5,Bras,Brassicales,Bras,Brassicaceae,NA,Coronopus,didynamus,CorDid,CoDi1,NA,NA,NA,Herb,NA,N,Weed,NA,NA,Veg,L&L?,NA,NA,WdDi,NA,NA,NA,NF,NF,NA,NA,NA,NF,WdDi,NA,NA,NA,,
A4.5,Bras,Brassicales,Bras,Brassicaceae,NA,Cynophalla,sp.,CynSp.,CySp.,Sp.,NA,NA,Shrub,Tree,Y,Landsc,NA,NA,NA,NA,NA,NA,8266,SoilSci,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
